X1,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
87,88,TRUE,0.033081,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
88,89,TRUE,1.600098,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
89,90,FALSE,0.5,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
90,91,FALSE,8.049561,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
91,92,TRUE,0.600098,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
92,93,TRUE,1.91626,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
93,94,TRUE,0.949829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
94,95,TRUE,0.016479,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
95,96,TRUE,1.249634,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
96,97,TRUE,2.066895,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
97,98,TRUE,0.949829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
98,99,FALSE,0.449829,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
99,100,TRUE,1.449585,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
100,101,TRUE,1.599854,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
101,102,TRUE,0.600098,YOG,JG,3,lucas,70,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
0,1,TRUE,9.14917,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
1,2,TRUE,0.983398,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
2,3,TRUE,0.399902,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
3,4,TRUE,0.16626,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
4,5,FALSE,1.73291,YOG,JM,0,lucas,16,YOG2018,101011101010101010,2
5,6,FALSE,1.766846,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
6,7,TRUE,0.350098,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
7,8,TRUE,1.399902,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
8,9,TRUE,1.300049,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
9,10,TRUE,0.266357,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
